ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : Ûéú ̄ÖμÖÖ ‡®ÖÛêú †®Öã ̄Öæ ̧üÛú  ̄ÖÏ¿®Ö ÛúÖ ˆ¢Ö ̧ü ¤üß×•Ö‹...	श्री उपसभाषति : देखिए।...(व्यवधान)...कुछ भी अभिलिखित नहीं होगा। यह नहीं
†×®Ö“”ûÖ £Öß... μÖÆüÖÓ 3Öß Æü ́ÖÖ ̧üß 3⁄4μÖ3⁄4ÖÃ£ÖÖ Æîü... ÃÖß.†Ö‡Ô.‹ÃÖ.‹±ú. ÛúÖê ‡®Ö Ûêú®¦üÖë •ÖîÃÖê †ÓŸÖ× ̧üõÖ	हासिल करने में सफल रहा है। दार्जिलिंग चाय को अक्तूबर, 2004 से भौगोलिक
†®ÖãÃÖÓ¬ÖÖ®Ö,  ̄Ö ̧ü ́ÖÖÞÖã ‰ú•ÖÖÔ, 3⁄4ÖîóÖÖ×®ÖÛú ÃÖÓÃ£ÖÖ®Ö, ÃÖæ“Ö®ÖÖ  ̄ÖÏÖîaÖê×ÝÖÛúß ˆaÖêÝÖ †Öî ̧ü †®μÖ Ã£ÖÖ®ÖÖë	संकेतक (जी.आई.) भी घोषित किया गया है।
̄Ö ̧ü 3Öß ÃÖã ̧üõÖÖ †Öî ̧ü ÃÖÓ ̧üõÖÖ  ̄ÖÏ¤üÖ®Ö Ûú ̧ü®Öê Ûêú ×»Ö‹  ̄ÖÏμÖÖêÝÖ ×ÛúμÖÖ •ÖÖ  ̧üÆüÖ Æîü... Æü ́Ö ˆ®ÖÛúÖê	चाय की गुणवत्ता में सुधार करने और इसका मूल्यवर्धन करने में प्रयुक्त चाय
μÖÆüÖÓ ÃÖê ÃÖÆüÖμÖŸÖÖ Ûú ̧ü®Öê Ûúß ×Ã£Ö×ŸÖ  ́Öë Æïü »Öê×Ûú®Ö ˆÃÖÛúÖê  ̧üÖ•μÖ ÃÖ ̧üÛúÖ ̧ü Ûêú  ́ÖÖ¬μÖ ́Ö ÃÖê	बैगिंग एवं पैकेजिंग मशीनों, कलर सार्टिंग मशीन जैसी मशीनों की कतिपय समदों पर
Ûú ̧ü®ÖÖ ÆüÖêÝÖÖ...  ̄ÖÏ ́ÖãÜÖ 2ÖÖŸÖ, ×•ÖÃÖÛúÖê 2ÖÆãüŸÖ Ã ̄ÖÂTMü ¿Ö2¤üÖë  ́Öë ÃÖ ́ÖôÖ®Öê Ûúß †Ö3⁄4Ö¿μÖÛúŸÖÖ Æîü, 3⁄4ÖÆü	आयात शुल्क की दर अब से मई, 2006 तक घटाकर 5 प्रतिशत कर दी गई है।
μÖÆü Æîü ×Ûú Æü ́Ö μÖÆüÖÓ ÃÖê ÃÖß¬Öê-ÃÖß¬Öê ÆüÃŸÖõÖê ̄Ö ®ÖÆüà Ûú ̧ü ÃÖÛúŸÖê... Æü ́Öë  ̧üÖ•μÖ ÃÖ ̧üÛúÖ ̧ü Ûêú	भारतीय चाय की गुणवत्ता बनाये रखने और इसकी ब्रांड इक्विटी बरकरार रखने
́ÖÖ¬μÖ ́Ö ÃÖê •ÖÖ®ÖÖ  ̄Ö›ÍêüÝÖÖ †Öî ̧ü μÖ×¤ü Æü ́Ö 3⁄4ÖîÃÖÖ Ûú ̧ü®Öê Ûúß “ÖêÂTMüÖ Ûú ̧üŸÖê Æïü ŸÖÖê 3⁄4Öê ÛúÆëüÝÖê ×Ûú	की दृष्टि से सरकार ने दिनांक 01-04-2005 को एक नया चाय (वितरण एवं निर्यात)
ÃÖÓ‘ÖßμÖ 3⁄4μÖ3⁄4ÖÃ£ÖÖ  ́Öë, ÃÖÓ3⁄4Öî¬ÖÖ×®ÖÛú  ̄ÖÏÖ3⁄4Ö¬ÖÖ®ÖÖë Ûêú †®ÖãÃÖÖ ̧ü ‹êÃÖÖ ®ÖÆüà ÆüÖê ÃÖÛúŸÖÖ, Ûêú3⁄4Ö»Ö  ̧üÖ•μÖ	नियंत्रण आदेश, 2005 जारी किया है जिसमें चाय के लिए कडे मानक निर्धारित किए
ÃÖ ̧üÛúÖ ̧ü Æüß ‹êÃÖÖ Ûú ̧ü ÃÖÛúŸÖß Æîü †Öî ̧ü †Ö ̄Ö ŒμÖÖë μÖÆü Ûú ̧ü  ̧üÆêü Æïü... †Öî ̧ü μÖÆüß ÛúÖ ̧üÞÖ Æîü ×Ûú	गए हैं और यह शर्त रखी गई है कि आयातित या निर्यातित सभी प्रकार की चाय को
Æü ́Ö ˆ®Ö  ̄Ö ̧ü †Ö ̧üÖê ̄Ö ®ÖÆüà »ÖÝÖÖ  ̧üÆêü Æïü... Æü ́Ö ˆ®ÖÛúß Ûú×šü®ÖÖ‡Ô ÃÖ ́ÖôÖŸÖê Æïü... ˆ®Ö  ̧üÖ•μÖÖë  ́Öë,	नये आदेश में उल्लिखित विनिर्देशनों के अनुरूप होना अपेक्षित होगा।
•ÖÆüÖÓ ‹êÃÖê ¤ü»ÖÖë ÛúÖ ¿ÖÖÃÖ®Ö ÆüÖê •ÖÖê  ̧üÖÂTMÒüßμÖ ÃŸÖ ̧ü  ̄Ö ̧ü ÃÖ¢ÖÖ  ́Öë Æïü, •ÖÖê 3Öß ÆüÖê, Æü ́Ö Æü ́Ö	चाय बोर्ड विदेशी बाजारों में संवर्धनात्मक कार्यकलाप भी चला रहा है और
ˆ®ÖÛúÖê ®Öß“ÖÖ ®ÖÆüà ×¤üÜÖÖ  ̧üÆêü Æï; Æü ́Ö ˆ®ÖÛúß †Ö»ÖÖê“Ö®ÖÖ ®ÖÆüà Ûú ̧ü  ̧üÆêü Æïü... Ûú»Ö •ÖÖê Æãü†Ö,	भारतीय चाय निर्यातकों को उनके विपणन प्रयासों में संवर्धनात्मक सहायता प्रदान कर
ˆÃÖÛêú ×»Ö‹ Æü ́Ö®Öê ˆ®ÖÛúß †Ö»ÖÖê“Ö®ÖÖ Ûú ̧ü®Öß ®ÖÆüà  ̄ÖÏÖ ̧ü ́3Ö Ûú ̧ü ¤üß... Æü ́Ö ˆ®ÖÛúÖê ÃÖ ́ÖôÖ®Öê ÛúÖ	रहा है। इनमें शामिल हैं - विभिन्न मेलों और प्रदर्शनियों में भागीदारी विशिष्टतायुक्त
̄ÖÏμÖÖÃÖ Ûú ̧ü  ̧üÆêü Æïü... μÖÆü ÃÖÓμÖãŒŸÖ  ̄ÖÏμÖÖÃÖ Æîü ×•ÖÃÖÛúÖê Ûú ̧ü®ÖÖ  ̄Ö›ÍêüÝÖÖ †Öî ̧ü  ́Öï ‡ÃÖ ÃÖ3ÖÖ ÃÖê	भण्डारों और प्रमुख बाजारों में मौके पर जाकर नमूने लेना-देना, मीडिया प्रचार, क्रेता-
†®Öã ̧üÖê¬Ö Ûú ̧ü  ̧üÆüÖ ÆæÓü ×Ûú Ûêú®¦ü ÃÖ ̧üÛúÖ ̧ü,  ̧üÖ•μÖ ÃÖ ̧üÛúÖ ̧ü Ã3⁄4ÖŸÖÓ¡Ö oþ ̄Ö ÃÖê μÖÆüÖÓ 2Öîšêü »ÖÖêÝÖÖë	विक्रेता बैठकें, चाय शिष्टमंडलों को भेजना-बुलाना आदि।
ÛúÖê, ÃÖ2ÖÛúÖê × ́Ö»ÖÛú ̧ü ‡ÃÖ ÃÖ ́ÖÃμÖÖ ÃÖê ×®Ö2ÖTMü®ÖÖ  ̄Ö›ÍêüÝÖÖ ŒμÖÖë×Ûú †Ö ̄ÖÛêú  ̄ÖÖÃÖ  ̄ÖÏ¿®Ö Ûú ̧ü®Öê Ûêú	श्री संतोष बागडोदिया : उपसभापति महोदय, मैं यह कहना चाहूंगा कि आरम्भ से
†3⁄4ÖÃÖ ̧ü Æïü... μÖ×¤ü †Ö ̄Ö ‹êÃÖê  ̄ÖÏ¿®Ö Ûú ̧üŸÖê Æïü •ÖÖê ÃÖ ́ÖÃμÖÖ ÛúÖê ÃÖã»ÖôÖÖ®Öê Ûúß 2Ö•ÖÖμÖ †Öî ̧ü	ही, मेरा मतलब है बहुत लम्बे समय से वर्ष 1961 से 121 मिलियन किलो सी.टी.सी.
ÃÖ ́ÖÃμÖÖ  ̄Öî¤üÖ Ûú ̧üŸÖê Æïü †Öî ̧ü ×±ú ̧ü †Ö ̄Ö ˆšüÛú ̧ü μÖÆü ÛúÆüŸÖê Æïü ×Ûú μÖê †Ö ̄ÖÛúÖê  ̄ÖÏ¿®Ö Ûú ̧ü®Öê Ûúß	चाय की तुलना में परम्परागत चाय का उत्पादन 218 मिलियन किलो था जिसका अर्थ
†®Öã ́Ö×ŸÖ ®ÖÆüà ¤êü  ̧üÆêü Æïü ŸÖÖê μÖÆü ÃÖÆüß ®ÖÆüà Æîü... ÛúÖî®Ö ÛúÆü  ̧üÆüÖ Æîü ×Ûú †Ö ̄ÖÛúÖê  ̄ÖÏ¿®Ö ®ÖÆüà	हुआ कि 64 प्रतिशत परम्परागत था। वर्ष 2003 में, सी.टी.सी. का उत्पादन 717
Ûú ̧ü®ÖÖ “ÖÖ×Æü‹?  ́Öï ×ÛúÃÖß 3Öß  ̄ÖÏ¿®Ö ÛúÖ ˆ¢Ö ̧ü ¤êü®Öê Ûêú ×»Ö‹ ŸÖîμÖÖ ̧ü ÆæÓü »Öê×Ûú®Ö  ̄ÖÏ¿®Ö ‡ÃÖ	मिलियन किलो बढ गया जबकि परम्परागत चाय घटकर 87 मिलियन किलो रह गयी।
̄ÖÏÛúÖ ̧ü Ûêú ÆüÖê®Öê “ÖÖ×Æü‹ ×Ûú ˆ®ÖÃÖê ÃÖÆüÖμÖŸÖÖ × ́Ö»Ö ÃÖÛêú...	प्रक्रिया में, परम्परागत चाय का प्रतिशत केवल 10 प्रतिशत है। दक्षिण भारत से,
ÃÖê •ÖÖê ˆ ̄Ö¦ü3⁄4Ö †Öî ̧ü †ÖŸÖÓÛú3⁄4ÖÖ¤ü ÆüÖêŸÖÖ Æîü, ‡ÃÖÛêú ÛúÖ ̧üÞÖÖë ÛúÖ †¬μÖμÖ®Ö Ûú ̧ü®Öê Ûêú ×»Ö‹ ŒμÖÖ	विशेषकर तत्कालीन सोवियत संघ को, परम्परागत चाय का निर्यात बडे पैमाने पर किया
Ûú¤ü ́Ö ˆšüÖ‹ ÝÖ‹ Æïü? ŸÖ× ́Ö»Ö®ÖÖ›ãü  ́Öë ‹Ûú  ̄ÖÏÛúÖ ̧ü ÛúÖ †ÖŸÖÓÛú3⁄4ÖÖ¤ü ÆüÖêŸÖÖ Æîü, †ÖÓ¬ÖÐ  ́Öë ‹Ûú	जा रहा था। केवल एक देश को कुल नर्यात लगभग 120 मिलियन किलो का किया
̄ÖÏÛúÖ ̧ü ÛúÖ †ÖŸÖÓÛú3⁄4ÖÖ¤ü ÆüÖêŸÖÖ Æîü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö) •Ö ̧üÖ ÝÖéÆü  ́ÖÓ¡Öß •Öß ‡ÃÖÛêú ÛúÖ ̧üÞÖÖë Ûêú 2ÖÖ ̧êü  ́Öë	गया। अभी, माननीय मंत्री जी ने इसमें अनेक रणनीतियों का उल्लेख किया है ।
×3⁄4ÖÃŸÖÖ ̧ü ÃÖê 2ÖŸÖÖ‹Ó...	एक मैम्बर ही पूरी ले ले, तो मुझे कोई आपत्ति नहीं है, मुझे कोई आपत्ति
ÁÖß ×¿Ö3⁄4Ö ̧üÖ•Ö 3⁄4Öß.  ̄ÖÖ×TMü»Ö : ÁÖß ́Ö®ÖË, •ÖÖê ÃÖÖ‡ÓÃÖ ‡ÓÃTMüßTMËüμÖæ¿Ö®Ö  ̄Ö ̧ü Æü ́Ö»ÖÖ Æãü†Ö, 3⁄4ÖÆü	नहीं है। यदि समस्त सभा यह निर्णय लेती है कि और अनुपूरक प्रश्न नहीं पूछे जाएं,
ŒμÖÖë Æãü†Ö, μÖÆü ÃÖ ́ ́ÖÖ®Ö®ÖßμÖ ÃÖ¤üÃμÖ •ÖÖ®Ö®ÖÖ “ÖÖÆüŸÖê Æïü... Æü ́Ö®Öê  ̄ÖÆü»Öê Æüß ‡ÃÖ ÃÖ¤ü®Ö  ́Öë †Öî ̧ü	तो मैं इसकी अनुमति दे दूंगा...(व्यवधान)...इसलिए मैं आपसे रिक्वेस्ट कर रहा हूं कि
2ÖÖÆü ̧ü 3Öß 2ÖŸÖÖμÖÖ £ÖÖ ×Ûú •ÖÖê »ÖÖêÝÖ μÖÆüÖÓ  ̄Ö ̧ü ÆüÖ¤üÃÖê Ûú ̧ü3⁄4ÖÖ®ÖÖ “ÖÖÆüŸÖê Æïü, ˆ®ÆüÖë®Öê ‹êÃÖÖ	आप सवाल पूछिए, आप दूसरों का टाइम जाया मत कीजिए। प्लीज सवाल पूछिए।
×›üÃÖÖ‡›ü ×ÛúμÖÖ Æîü ×Ûú μÖÆüÖÓ Ûúß •ÖÖê ®ÖμÖß ‡Ó›üÃTMÒüß Æîü μÖÖ μÖÆüÖÓ Ûêú •ÖÖê ‡ÓÃTMüßTMËüμÖæ¿ÖÓÃÖ Æïü μÖÖ	डा. मुरली मनोहर जोशी : एकाध मिनट ऐसा होता है, उसका तो ध्यान रखना
μÖÆüÖÓ Ûêú •ÖÖê ÜÖÖÃÖ ‹ÃTMîü×2Ö×»ÖÃÖ ́Öê®TMËüÃÖ Æïü, ˆ®ÖÛêú ‰ú ̄Ö ̧ü Æü ́Ö»ÖÖ Ûú ̧ëü, ŸÖÖ×Ûú μÖÆü •ÖÖê ›ü ̧ü	ही चाहिए...(व्यवधान)...
±îú»ÖÖ®Öê ÛúÖ ÛúÖ ́Ö Æîü, ˆÃÖ ́Öë 3⁄4Öê †ÖÃÖÖ®Öß ÃÖê †ÖÝÖê 2ÖœÍü ÃÖÛëú... ‡ÃÖ×»Ö‹ μÖê  ́ÖÖ»Öæ ́ÖÖŸÖ ÃTMêüTMü	श्री उपसभापषति : मैं भी यह बात समझता हूं कि एक-दो मिनट ऐसा होता है,
ÝÖ3⁄4Ö®ÖÔ ́ÖëTMü ÛúÖê Æü ́ÖÖ ̧üß ŸÖ ̧ü±ú ÃÖê ¤üß ÝÖ‡Ô Æïü... ÃÖ ́ ́ÖÖ®Ö®ÖßμÖ ÃÖ¤üÃμÖ Ûúß  ́ÖÖ»Öæ ́ÖÖŸÖ Ûêú ×»Ö‹  ́Öï μÖÆü	लेकिन आप कहीं जाएंगे, आप उनकी बातों पर गौर करके मुझे जवाब दीजिए।
2ÖŸÖÖ®ÖÖ “ÖÖÆüŸÖÖ ÆæÓü ×Ûú Æü ́ÖÖ ̧êü ÛúÖÓÃTMüßTMËüμÖæ¿Ö®Ö Ûêú  ́ÖãŸÖÖ×2ÖÛú ÛúÖ®Öæ®Ö †Öî ̧ü 3⁄4μÖ3⁄4ÖÃ£ÖÖ ÛúÖμÖ ́Ö Ûú ̧ü®Öê	श्री रुद्रनारायण पाणि : महोदय, आप सब बडे-बडे लोग हैं। बीच में सब लोग
Ûêú ÛúÖ ́Ö  ́Öë μÖÆüÖÓ ÃÖê ¤üÜÖ»ÖÓ¤üÖ•Öß ®ÖÆüà Ûúß •ÖÖ ÃÖÛúŸÖß Æîü... Æü ́Ö Ûêú3⁄4Ö»Ö  ́Ö¤ü¤ü Ûú ̧ü ÃÖÛúŸÖê Æïü,	बोले। मान्यवर, मेरा निर्दिष्ट प्रश्न यह है कि राजनीति से ऊपर उठ कर गृह मंत्री
»Öê×Ûú®Ö Æü ́Ö † ̄Ö®Öß  ̄Öã×»ÖÃÖ ÛúÖê 3⁄4ÖÆüÖÓ »Öê •ÖÖÛú ̧ü ÜÖ›ÍüÖ ®ÖÆüà Ûú ̧ü ÃÖÛúŸÖê Æïü... μÖÆüÖÓ Ûúß  ̄Öã×»ÖÃÖ	महोदय उन राज्यों में कितनी बार बैठक कर रहे हैं, जहां पर केन्द्र के राजनीतिक
ÛúÖê 3Öê•ÖÛú ̧ü, μÖÆü Ûú ̧üÖê, ‹êÃÖÖ Æü ́Ö ®ÖÆüà ÛúÆü ÃÖÛúŸÖê... ÃÖ ́ ́ÖÖ®Ö®ÖßμÖ ÃÖ¤üÃμÖ †ÝÖ ̧ü ‡ÃÖ 2ÖÖŸÖ ÛúÖê	दर्शन के अलावा दूसरी राजनीतिक दर्शन की पार्टी सरकार में है?
¬μÖÖ®Ö  ́Öë  ̧üÜÖ »Öë, ŸÖÖê 2ÖÖÛúß ÃÖÖ ̧êü  ̄ÖÏ¿®ÖÖë ÛúÖê ÃÖ ́ÖôÖ®Öê  ́Öë 2Ö›Íüß †ÖÃÖÖ®Öß ÆüÖê •ÖÖŸÖß Æîü...	श्री शिवराज वी. पाटिल : श्रीमन्, उन्होंने यह बहुत अच्छा प्रश्न पूछा है, मैं
¤æüÃÖ ̧üß 2ÖÖŸÖ μÖÆü Æîü ×Ûú ÃÖÖ‡ÓÃÖ ‡ÓÃTMüßTMËüμÖæ¿Ö®Ö  ́Öë •ÖÖê ÆüÖ¤üÃÖÖ Æãü†Ö, ÆüÖ¤üÃÖÖ ÆüÖê®Öê Ûêú	इसका जवाब देना चाहूंगा। जहां तक व्यक्तिगत रूप में मेरा प्रश्न है, शायद उसको
2ÖÖ¤ü Æü ́Ö®Öê ˆ®ÖÛúÖê ÛúÆüÖ ×Ûú †Ö ̄ÖÛúÖê †ÝÖ ̧ü  ̄Öã×»ÖÃÖ Ûúß  ́Ö¤ü¤ü Ûúß •Öoþ ̧üŸÖ Æîü, ŸÖÖê Æü ́Ö ¤êü®Öê	एलाऊ नहीं किया जाए, उसका जवाब देने की जरूरत नहीं है। मैं कहना चाहूंगा कि
Ûêú ×»Ö‹ ŸÖîμÖÖ ̧ü Æïü... ÆüÖ¤üÃÖÖ ÆüÖê®Öê Ûêú 2ÖÖ¤ü 3Öß, ˆ®ÆüÖë®Öê ÛúÆüÖ ×Ûú Æü ́Ö  ̄Öã×»ÖÃÖ ÛúÖê † ̄Ö®Öê	जहां पर भी ऐसे हादसे हो रहे हैं, वहां के मुख्यमंत्रियों को बुला कर प्रधानमंत्री जी के
Ûïú ̄ÖÃÖ  ́Öë ®ÖÆüà †Ö®Öê ¤ëüÝÖê, Æü ́Ö † ̄Ö®Öß ŸÖ ̧ü±ú ÃÖê Æüß ‡ÓŸÖ•ÖÖ ́Ö Ûú ̧ëüÝÖê †Öî ̧ü ˆ®ÖÛúß •ÖÖê	साथ, होम मिनिस्टर के साथ, हमारे जो दूसरे अधिकारी हैं, उनके साथ बैठ कर चर्चा
×ÃÖŒμÖÖê× ̧üTMüß Æîü, ˆ®ÆüÖë®Öê 50-60 †Ö¤ü× ́ÖμÖÖë ÛúÖê  ̧üÜÖÛú ̧ü 2Ö®ÖÖ‡Ô Æãü‡Ô £Öß †Öî ̧ü  ̄ÖÏÖ‡3⁄4ÖêTMü ×ÃÖŒμÖÖê× ̧üTMüß	की गई है। इतना ही नहीं, हर प्रान्त में, हर रिजन में जो रिजनल कंफेरेंसेज होती हैं,
‹•ÖëÃÖß ÃÖê »Öß £Öß... ÃÖ ̧üÛúÖ ̧ü Ûúß ŸÖ ̧ü±ú ÃÖê •Ö2Ö ˆ®ÖÛúÖê  ̄Öæ”ûÖ ÝÖμÖÖ, ŸÖÖê ˆ®ÆüÖë®Öê ÃÖ ̧üÛúÖ ̧ü Ûúß	वहां पर मुख्यमंत्रियों को बुला कर उसके ऊपर चर्चा की गई है। छत्तीसगढ हो या
́Ö¤ü¤ü »Öê®Öê ÃÖê ‡ÓÛúÖ ̧ü Ûú ̧ü ×¤üμÖÖ Æîü... ‡®Ö 2ÖÖŸÖÖë ÛúÖê ®Ö•Ö ̧ü†Ó¤üÖ•Ö Ûú ̧üÛêú •ÖÖê »ÖÖêÝÖ 2ÖÖÆü ̧ü ›ü ̧ü	झारखंड हो या बिहार हो या मध्य प्रदेश हो या कर्नाटक हो, वहां पर खुद जाकर मैंने
±îú»ÖÖ®Öê ÛúÖ ÛúÖ ́Ö Ûú ̧ü  ̧üÆêü Æïü, 3⁄4ÖÆüß ÛúÖ ́Ö Æü ́Ö 3Öß ‹êÃÖê  ̄ÖÏ¿®Ö  ̄Öæ”ûÛú ̧ü Ûú ̧ëü ×Ûú ›ü ̧ü Ûúß  ́ÖÖ¡ÖÖ	उन लोगों से चर्चा भी की हुई है। जब भी कोई ऐसे हादसे होते हैं, तो हम उनको
2ÖœÍü •ÖÖ‹, ŸÖÖê 3⁄4ÖÆü Æü ́ÖÖ ̧êü ¤êü¿Ö Ûêú ×ÆüŸÖ  ́Öë ®ÖÆüà Æîü...	जाकर यह बता देते हैं और उनके साथ चर्चा हो जाती है। हम यह नहीं देखते हैं कि
ÁÖß 2Ö»Ö3⁄4ÖÓŸÖ ˆ±Ôú 2ÖÖ»Ö †Ö ̄ÖTMêü : ŒμÖÖ μÖÆü ˆ¢Ö ̧ü ¤êü®Öê ÛúÖ œÓüÝÖ Æîü?...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...μÖÆü	आज छत्तीसगढ में कुछ हो गया, तो वहां पर एक दूसरे प्रान्त की सरकार है। उसके
ŒμÖÖ •Ö3⁄4ÖÖ2Ö Æîü?	लिए यहां आकर सदन में कह दें कि तुमने गलती की, तुमने यह किया, तुमने वह
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ :  ́ÖÆüÖê¤üμÖ,  ́ÖÖ®Ö®ÖßμÖ ÝÖéÆü  ́ÖÓ¡Öß •Öß ÛúÖê μÖÆü 3Öæ»Ö®ÖÖ ®ÖÆüà	किया, हमने मालूमात दी, उसका इस्तेमाल नहीं किया। हम इस प्रकार से काम नहीं
“ÖÖ×Æü‹ ×Ûú 3⁄4Öê ×•ÖÃÖ †ÖÃÖ®Ö  ̄Ö ̧ü †ÖÃÖß®Ö Æïü, ˆÃÖ  ̄Ö ̧ü ÃÖ ̧ü¤üÖ ̧ü 3⁄4Ö»»Ö3Ö3ÖÖ‡Ô  ̄ÖTMêü»Ö †ÖÃÖß®Ö	करते हैं। अगर यहां पर इस प्रकार से काम हो रहा है...तो जिस प्रांत में ये घटनाएं
ÆüÖêŸÖê £Öê...	हो रही हैं, उस प्रांत की सरकार को पहले जवाब देना और दूसरी जगह पर
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : †Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö Ûúß×•Ö‹... μÖÆü 3ÖÖÂÖÞÖ ®ÖÆüà ÆüÖê  ̧üÆüÖ Æîü  ̄ÖÖ×ÞÖ •Öß, †Ö ̄Ö	इस राष्ट्र की सरकार को जवाब देना पडेगा। यह नहीं समझते हुए पॉलिटिक्स करने के
ÃÖ3⁄4ÖÖ»Ö Ûúß×•Ö‹...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)	लिए पार्टी के खिलाफ या व्यक्ति के खिलाफ अगर आप प्रश्न पूछते जाएंगे और उसका
ÁÖß  ̧ü×3⁄4Ö ¿ÖÓÛú ̧ü  ̄ÖÏÃÖÖ¤ü : †Öî ̧ü 3Öß ¤üÖê  ̄ÖÏ¿®Ö £Öê •ÖÖê  ́Öï®Öê  ̄Öæ”êû £Öê - ×ÛúŸÖ®Öê  ̄ÖÏ ́ÖãÜÖ	उत्तर देने के लिए सीनियर मेंबर भी उठकर उसकी वकालत करेंगे तो वह कहां तक
†ÖŸÖÓÛú3⁄4ÖÖ¤üß ÃÖ ́ÖæÆü ¤ü×õÖÞÖß 3ÖÖ ̧üŸÖ  ́Öë ÛúÖμÖÔ ̧üŸÖ Æïü, ˆ®ÖÛêú ×3⁄4Ö1ý ̈ü ŒμÖÖ ÛúÖ ̧Ôü3⁄4ÖÖ‡Ô Ûúß ÝÖ‡Ô Æîü,	दुरुस्त होगा? यह आप ठहराव कीजिए और आप जैसा ठहराव करेंगे, मैं मानने के लिए
†Öî ̧ü ×3⁄4Ö¤êü×¿ÖμÖÖë ×3⁄4ÖÂÖμÖÛú †×¬Ö×®ÖμÖ ́Ö  ́Öë ŒμÖÖ ÃÖÓ¿ÖÖê¬Ö®Ö ×ÛúμÖÖ ÝÖμÖÖ Æîü... ‡®ÖÛúÖ ˆ¢Ö ̧ü ×¤üμÖÖ Æüß	तैयार हूं |
®ÖÆüà ÝÖμÖÖ...	श्री एस.एस. अहलुवालिया : उपसभापति महोदय, आपके माध्यम से अपने सवाल
ÁÖß ×¿Ö3⁄4Ö ̧üÖ•Ö 3⁄4Öß.  ̄ÖÖ×TMü»Ö : μÖÆü ×3⁄4Ö¤êü×¿ÖμÖÖë ×3⁄4ÖÂÖμÖÛú †×¬Ö×®ÖμÖ ́Ö ¤ü×õÖÞÖ  ́Öë  ̄ÖÏÖÃÖÓ×ÝÖÛú	के `क` भाग के रूप में इस सवाल का जो उत्तर आया है, उस बारे में और `ख` भाग
®ÖÆüà Æîü; μÖÆü †®μÖ Ã£ÖÖ®ÖÖë Ûêú ×»Ö‹  ̄ÖÏÖÃÖÓ×ÝÖÛú Æîü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	के रूप में जो इन्होंने बार-बार कहा कि वहां के निदेशक या साइंटिस्ट अपने कैम्पस में
ÁÖß  ̧ü×3⁄4Ö ¿ÖÓÛú ̧ü  ̄ÖÏÃÖÖ¤ü : †Ö ̄ÖÛúß †×¬ÖÃÖæ“Ö®ÖÖ  ̄ÖÏÖÃÖÓ×ÝÖÛú Æîü...	पुलिस को नहीं देखना चाहते, इसके बारे में पूछना चाहूंगा।
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : †Ö ̄Ö ˆ®ÖÛúÖê •Ö3⁄4ÖÖ2Ö ¤êü®Öê ¤üß×•Ö‹ ®Ö !...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	महोदय, क्या इंटेलिजैंस डिपार्टमेंट को इस इंटरनेशनल कांफ्रेंस में विभिन्न देशों
ÁÖß ×¿Ö3⁄4Ö ̧üÖ•Ö 3⁄4Öß.  ̄ÖÖ×TMü»Ö :  ́ÖÆüÖê¤üμÖ, •ÖÆüÖÓ ŸÖÛú †®μÖ  ̧üÖ•μÖÖë ÛúÖ ÃÖÓ2ÖÓ¬Ö Æîü, ×3⁄4Ö¤êü×¿ÖμÖÖë	से लोग आ रहे हैं, इसके बारे में सूचना थी और उस पर अटैक होगा, क्या इसकी भी
×3⁄4ÖÂÖμÖÛú †×¬Ö×®ÖμÖ ́Ö † ̄Ö× ̧ü3⁄4ÖÙŸÖŸÖ Æîü... Ûéú ̄ÖμÖÖ ÃÖ ́Ö×ôÖ‹ ×Ûú †×¬Ö×®ÖμÖ ́Ö ×3Ö®®Ö ®ÖÆüà Æîü; ×®ÖμÖ ́Ö	कोई सुचना थी? अगर थी तो प्लेन क्लॉथ्ज में वहां पर सिक्युरिटी गार्ड्स, एन.एस.जी.
×3Ö®®Ö ®ÖÆüà Æîü; Ûãú”û  ̧üÖ•μÖÖë ÛúÖê ”ûÖê›ÍüÛú ̧ü †®μÖ ÃÖ3Öß  ̧üÖ•μÖÖë  ́Öë †×¬Ö×®ÖμÖ ́Ö 3⁄4ÖÆüß Æîü; ×®ÖμÖ ́Ö	के जवानों या कमांडोज को क्यों नहीं भेजा गया?
3⁄4ÖÆüß Æïü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	महोदय, मैं आपके ध्यान में यह भी लाना चाहता हूं कि इस प्रश्न का जवाब जो
